City,Center Name,Mobile Number,Alternative Mobile No.,Email,address,google_link,gst_no,status
Delhi / NCR,Preet Vihar,7011977683,7011977683,NULL,NULL,NA,NULL,No
Delhi / NCR,Gurgaon,8920315983,9821411174,gg.haryana@vibes.co.in,"B-711, 1st Floor, Metro Station, near Millennium City Centre, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002",https://maps.google.com/?cid=18025314821033964976,"06AACCV9949A2Z6
",Yes
Hyderabad,Banjara Hills,9701035348,7893160606,bh.hyd@vibes.co.in,"8-2618/8 & 9, Road No 1 & 11, ABK Olbee Plaza, 1st Floor, Banjara Hills Opp Care Hospital, Hyderabad-500082
",https://goo.gl/maps/zgPPKQ2JXY1BDnSG6,"36AACCV9949A1Z4
",Yes
Hyderabad,Karkhana Road,7893970707,7893970707,kr.hyd@vibes.co.in,"59/1/2, Vikrampuri, Karkhana Road, Secunderabad-500009
",https://goo.gl/maps/hHTy5gsoQVTpHWFV8,"36AACCV9949A1Z4
",Yes
Hyderabad,Gachibowli,9398993647,9398993647,gb.hyd@vibes.co.in,"Oppoiste Telecom Nagar, Adjacent to Labenel Bakery, Gachibowli Main Road, Hyderabad-500032
",https://goo.gl/maps/DWZB2FuSmsiNLnPD9,"36AACCV9949A1Z4
",Yes
Hyderabad,Kukatpally,9000771590,9000771590,kukatpally.hyd@vibes.co.in,"Plot no. 2, MIG-1, KPHB Colony, Kukatpally, Hyderabad - 500072
",https://goo.gl/maps/QnypuFBe66E3WPz38,"36AACCV9949A1Z4
",Yes
Hyderabad,Himayat Nagar,9640080808,9640080808,hn.hyd@vibes.co.in,"H.No.-3-6-12 & 13, 1st Floor, Opp.Tirumal Tirupati Devasthanam, Himayat Nagar, Hyderabad-500029
",https://goo.gl/maps/wzvcGXmzzkHqwo1J9,"36AACCV9949A1Z4
",Yes
Kolkata,Garia,8583956322,6291505910,garia.cal@vibes.co.in,"Vibes Health care Ltd., Pacific Paramount,1st Floor, 404 A/1B, NSC Bose Road, Kolkata-700047
",https://goo.gl/maps/RVcrHoZhkYcyb5UG6,"19AACCV9949A1Z0
",Yes
Kolkata,Kakurgachi,7439214122,9330375594,kakurgachi.cal@vibes.co.in,"P-274, CIT Scheme, IV M, 1st Floor, SBI Building, Bata Chowk, Kolkata-700054
",https://goo.gl/maps/HCAPB1jyiYsgdhWEA,"19AACCV9949A1Z0
",Yes
Kolkata,Girish Park,7044264528,7044264528,girishpark.cal@vibes.co.in," 207 Central Avenue, Meridian Plaza, 1st floor, Near Girish Park Metro Station, Kolkata-700006
",https://goo.gl/maps/inSEZKeohNQ5qquH6,"19AACCV9949A1Z0
",Yes
Kolkata,Theatre Road,8017754921,7428868400,theatreroad.cal@vibes.co.in,"47 A-Theatre Road, Opp. Kala Mandir, Kundalia Tower, Ground Floor, Kolkata-700017  
",https://goo.gl/maps/n4sB4Vx9FhxyVH9G8,"19AACCV9949A1Z0
",Yes
Kolkata,Kasba,7596906313,9330363001,kasba.cal@vibes.co.in,"Plot No-1-13A, Sector-C, No.289, Shanti Pally, Ward No-107, Kasba, Kolkata-700107
",https://goo.gl/maps/yQdGo35hge8zSWJN9,"19AACCV9949A1Z0
",Yes
Kolkata,VIP Road,9748516119,9748915551,viproad.cal@vibes.co.in,"AA- 45 , VIP ROAD, Near VIP Road BIG BAZAAR, RAGHUNATHPUR, KOLKATA  - 700059
",https://goo.gl/maps/6Ne9yimSZEAaqPUB6,"19AACCV9949A1Z0
",Yes
Kolkata,Southern Avenue,8420957902,9007508151,savenue.cal@vibes.co.in,"3, Southern Avenue, Near Kalighat Metro Station, Kolkata-700029
",https://goo.gl/maps/5QqBRj2MkVGGV9sp6,"19AACCV9949A1Z0
",Yes
Lucknow,Gomti Nagar,9717782005,9717782005,gomtinagar.lucknow@vibes.co.in,"2/2, 2nd Floor, Vishwas Khand, Gomti Nagar, Above Shamsi Florist, Lucknow, Uttar Pradesh, 226010
",https://maps.app.goo.gl/SvDSD8ZBbrvoqUTb8,"09AACCV9949A1Z1
",No
Patna,Bandar Bagicha,9931660660,9931660660,bb.patna@vibes.co.in,"2 B  & C, Ground Floor, Santosha Complex, Bandar Bagicha, Dak Bunglow Road, Patna-800001
",NA,"10AACCV9949A1ZI
",No
Ranchi,Doranda,7428630077,6206054883,doranda.ranchi@vibes.co.in,"2nd Floor, 45, Lake View Tower, Doranda, Kadru Bye Pass Road, Ranchi, Jharkhand-834002
",https://goo.gl/maps/ESJQ3c8nbKZBNWQ87,"20AACCV9949A1ZH
",Yes
Kanpur,Parvati Bangla,6389428428,6389428428,kanpur@vibes.co.in,"House No. 4/279, Parvati Bangla Road, Near Rave-3 Mall, Kanpur-208002, UP
",https://goo.gl/maps/gsbTVbRwN47CrUfw9,09AACCV9949A1Z1,No
Dhaka,Dhanmondi,1901376460,1901376460,dm.dhaka@vibes.co.in,"Imperial Amin Ahmed Centre, 9th Floor, Plot No. 54, Road 10/A, Satmasjid Road, Dhaka 1208
",https://goo.gl/maps/9QpEJaqrU4xbwUq57,18529220101,Yes
Dhaka,Uttara,1976676607,1976676607,uttara.dhaka@vibes.co.in,"Paradise Tower,Level #07, Uttara Joshim Uddin - 1230
",https://goo.gl/maps/9Hagpdo14PftSKGdA,002000246-0102,Yes
Siliguri,Siliguri,7384398293,7384398293,vibesfooothills@gmail.com,"2, JK GEM HOUSE , 2ND FLOOR , 2 MILE SEVOKE ROAD, ADJUST UTTAR BANGA MARWARI BHAWAN , SILIGURI -734001",https://g.page/vibes-slg,19ACRPA9076D2ZA,Yes
Siliguri,Jalpaiguri,7477854510,7477854510,vibesdooars@gmail.com,"Silpasamiti para, Rudra complex 1st floor, near Himalayan eye Institute. jalpaiguri 735101",https://g.page/vibes-salon-jalpaiguri,19ACRPA9076D2ZA,Yes
Hyderabad,Habsiguda,9133579291,9133579291,habsiguda.hyd@vibes.co.in,"1-4-1/JJM/101&102,
1St Floor
JJ Makuta Building
New Found Co-operative Housing Society Limited, Pillar No.964, NGRI Metro Station, Habsiguda
Hyderabad-500007.",NULL,36DGWPK2269G1ZU,Yes
Jaipur,C-Scheme,8448029111,8448026111,cs.jaipur@vibes.co.in,"1st Floor, Durlabh Chambers, C Scheme, Prithviraj Road, Jaipur, Rajasthan, 302001",https://maps.app.goo.gl/vua8Wd5bfFd62PF97,08AACCV9949A1Z3,Yes
Jaipur,Vaishali Nagar,9667033324,9667833315,vn.jaipur@vibes.co.in,"1st Floor, 177, Vaishali Nagar, Jaipur, Jaipur, Rajasthan, 302021",https://maps.app.goo.gl/QdiRzNnNgLrMPCNA8,08AACCV9949A1Z3,Yes
Kolkata,Salt Lake,9217255539,9871455542,kol.saltlake@vibes.co.in,"Plt No.: DD/30, Second Floor, Andromeda Building, Opposite Kalyan Jewellers, Sector-1 Bidhannagar, Kolkata, West Bengal - 700064",NULL,"19AACCV9949A1Z0
",Yes
